model,trial_number,hits@1,hits@3,hits@5,hits@10
TransH,0,0.0688622754491018,0.1616766467065868,0.2125748502994012,0.2544910179640718
TransH,1,0.0149700598802395,0.1107784431137724,0.1766467065868263,0.2275449101796407
TransH,2,0.0029940119760479,0.1167664670658682,0.18562874251497,0.2455089820359281
TransH,3,0.0239520958083832,0.1317365269461078,0.18562874251497,0.2275449101796407
TransH,4,0.0,0.0389221556886227,0.0568862275449101,0.1107784431137724
TransH,5,0.0,0.0419161676646706,0.1047904191616766,0.1766467065868263
TransH,6,0.0179640718562874,0.0658682634730539,0.1137724550898203,0.1676646706586826
TransH,7,0.0449101796407185,0.0658682634730539,0.0988023952095808,0.1347305389221557
TransH,8,0.0179640718562874,0.1287425149700598,0.218562874251497,0.2664670658682634
TransH,9,0.0,0.1137724550898203,0.1766467065868263,0.2245508982035928
TransH,10,0.029940119760479,0.0718562874251497,0.1646706586826347,0.2005988023952095
TransH,11,0.0389221556886227,0.1407185628742515,0.1826347305389221,0.3053892215568862
TransH,12,0.0179640718562874,0.1257485029940119,0.1886227544910179,0.2544910179640718
TransH,13,0.0029940119760479,0.0059880239520958,0.0119760479041916,0.0239520958083832
TransH,14,0.0359281437125748,0.1407185628742515,0.1796407185628742,0.2874251497005988
TransH,15,0.0389221556886227,0.1586826347305389,0.2544910179640718,0.3383233532934132
TransH,16,0.0359281437125748,0.1257485029940119,0.2065868263473053,0.2305389221556886
TransH,17,0.0029940119760479,0.1347305389221557,0.1826347305389221,0.2694610778443114
TransH,18,0.0,0.1107784431137724,0.1676646706586826,0.2664670658682634
TransH,19,0.0,0.0119760479041916,0.029940119760479,0.0508982035928143
TransH,20,0.0029940119760479,0.0479041916167664,0.092814371257485,0.1616766467065868
TransH,21,0.0419161676646706,0.1616766467065868,0.2245508982035928,0.3143712574850299
TransH,22,0.0089820359281437,0.1077844311377245,0.18562874251497,0.2574850299401197
TransH,23,0.0,0.0029940119760479,0.0059880239520958,0.0149700598802395
TransH,24,0.0029940119760479,0.0748502994011976,0.1646706586826347,0.2305389221556886
TransH,25,0.0,0.0089820359281437,0.0119760479041916,0.0269461077844311
TransH,26,0.0029940119760479,0.0089820359281437,0.0089820359281437,0.0119760479041916
TransH,27,0.0209580838323353,0.1586826347305389,0.1946107784431137,0.2574850299401197
TransH,28,0.0,0.0748502994011976,0.0988023952095808,0.1467065868263473
TransH,29,0.0,0.0568862275449101,0.0988023952095808,0.1646706586826347
TransH,30,0.0029940119760479,0.0089820359281437,0.0089820359281437,0.0149700598802395
TransH,31,0.0,0.0209580838323353,0.0449101796407185,0.0718562874251497
TransH,32,0.0209580838323353,0.1137724550898203,0.1946107784431137,0.2664670658682634
TransH,33,0.0269461077844311,0.1287425149700598,0.1916167664670658,0.2664670658682634
TransH,34,0.0029940119760479,0.092814371257485,0.1377245508982036,0.2245508982035928
TransH,35,0.0419161676646706,0.1347305389221557,0.2155688622754491,0.2544910179640718
TransH,36,0.029940119760479,0.1287425149700598,0.1706586826347305,0.2095808383233532
TransH,37,0.0149700598802395,0.0838323353293413,0.1137724550898203,0.1586826347305389
TransH,38,0.0,0.0658682634730539,0.1287425149700598,0.1586826347305389
TransH,39,0.0,0.0029940119760479,0.0089820359281437,0.0359281437125748
TransH,40,0.0029940119760479,0.092814371257485,0.1646706586826347,0.1916167664670658
TransH,41,0.0389221556886227,0.1077844311377245,0.1347305389221557,0.2125748502994012
TransH,42,0.0209580838323353,0.122754491017964,0.1736526946107784,0.2035928143712574
TransH,43,0.0479041916167664,0.0808383233532934,0.1017964071856287,0.1377245508982036
TransH,44,0.0,0.1107784431137724,0.1796407185628742,0.2425149700598802
TransH,45,0.0,0.0329341317365269,0.0568862275449101,0.0958083832335329
TransH,46,0.0449101796407185,0.1377245508982036,0.1766467065868263,0.2305389221556886
TransH,47,0.029940119760479,0.0808383233532934,0.1407185628742515,0.2005988023952095
TransH,48,0.0,0.0,0.0089820359281437,0.0119760479041916
TransH,49,0.0329341317365269,0.1646706586826347,0.2634730538922156,0.344311377245509
TransH,50,0.0,0.0748502994011976,0.122754491017964,0.1766467065868263
TransH,51,0.0329341317365269,0.1526946107784431,0.2005988023952095,0.2425149700598802
TransH,52,0.0029940119760479,0.0029940119760479,0.0179640718562874,0.0389221556886227
TransH,53,0.0359281437125748,0.1317365269461078,0.1766467065868263,0.2844311377245509
TransH,54,0.0089820359281437,0.0089820359281437,0.0149700598802395,0.0209580838323353
TransH,55,0.0,0.029940119760479,0.0479041916167664,0.0778443113772455
TransH,56,0.0149700598802395,0.0838323353293413,0.1407185628742515,0.2245508982035928
TransH,57,0.0,0.092814371257485,0.1377245508982036,0.1706586826347305
TransH,58,0.0029940119760479,0.0808383233532934,0.1107784431137724,0.155688622754491
TransH,59,0.029940119760479,0.092814371257485,0.1586826347305389,0.2544910179640718
TransH,60,0.029940119760479,0.1317365269461078,0.248502994011976,0.3323353293413174
TransH,61,0.0688622754491018,0.1526946107784431,0.2005988023952095,0.248502994011976
TransH,62,0.0269461077844311,0.0449101796407185,0.0658682634730539,0.122754491017964
TransH,63,0.0,0.0628742514970059,0.1017964071856287,0.1497005988023952
TransH,64,0.0029940119760479,0.0808383233532934,0.1257485029940119,0.1676646706586826
TransH,65,0.0089820359281437,0.0508982035928143,0.1167664670658682,0.1646706586826347
TransH,66,0.059880239520958,0.1586826347305389,0.1886227544910179,0.2125748502994012
TransH,67,0.0,0.0628742514970059,0.1197604790419161,0.2005988023952095
TransH,68,0.029940119760479,0.059880239520958,0.0778443113772455,0.1197604790419161
TransH,69,0.0269461077844311,0.1137724550898203,0.1796407185628742,0.281437125748503
TransH,70,0.0149700598802395,0.0808383233532934,0.1796407185628742,0.2215568862275449
TransH,71,0.0029940119760479,0.1167664670658682,0.1646706586826347,0.2155688622754491
TransH,72,0.0029940119760479,0.0149700598802395,0.0179640718562874,0.0329341317365269
TransH,73,0.0,0.0029940119760479,0.0029940119760479,0.0089820359281437
TransH,74,0.0059880239520958,0.0089820359281437,0.0089820359281437,0.0269461077844311
TransH,75,0.0389221556886227,0.1586826347305389,0.2065868263473053,0.2754491017964072
TransH,76,0.0568862275449101,0.0958083832335329,0.1467065868263473,0.2604790419161676
TransH,77,0.0,0.0059880239520958,0.0269461077844311,0.0359281437125748
