model,sampler,best_trial_number,best_trial_evaluation,best_trial_hits@10,best_trial_AMR,mean_hpo_runtime_hours
TransH,random,66,0.11103254062862146,0.1772486772486772,0.7635305795545363,0.7757384655555556
DistMult,tpe,71,0.12347706012685492,0.1917989417989418,0.1999717202042285,0.6621419344444444
TransE,random,77,0.13168857021621372,0.205026455026455,0.3201648576199151,0.6091715075
ComplEx,tpe,42,0.007243498827568172,0.0092592592592592,1.0329428804961538,0.5344335566666667
TransE,tpe,79,0.14155017178358995,0.205026455026455,0.3107620027475442,0.4968959113888889
TransH,tpe,77,0.11120707350626367,0.1746031746031746,0.7591197881247591,0.7529610488888889
RotatE,tpe,42,0.12096273921076663,0.1851851851851851,0.6720199414403591,1.4611721694444444
ComplEx,random,47,0.008280894526994952,0.0105820105820105,1.0054561986586583,0.4826729736111111
RotatE,random,40,0.13374731636329656,0.2063492063492063,0.5921945020096662,1.0709864291666666
DistMult,random,43,0.09648669998508143,0.1587301587301587,0.2859520894928812,0.8203083738888889
