model,optimizer,loss,inverse_relations,hits@1,hits@3,hits@5,hits@10
ComplEx,SGD,BCEWithLogitsLoss,False,0.0,0.0,0.0,0.003968253968253968
DistMult,Adam,SoftplusLoss,True,0.0013227513227513227,0.026455026455026454,0.06349206349206349,0.1111111111111111
RotatE,SGD,MarginRankingLoss,False,0.0,0.0,0.0,0.06746031746031746
TransE,Adam,MarginRankingLoss,True,0.04894179894179894,0.08333333333333333,0.10582010582010581,0.15476190476190477
DistMult,Adagrad,MarginRankingLoss,False,0.056878306878306875,0.09126984126984126,0.1164021164021164,0.14814814814814814
RotatE,Adagrad,SoftplusLoss,True,0.0701058201058201,0.15873015873015872,0.18915343915343916,0.21164021164021163
DistMult,Adam,BCEWithLogitsLoss,False,0.03835978835978836,0.0701058201058201,0.09656084656084656,0.12566137566137567
ComplEx,SGD,NSSALoss,False,0.0,0.0,0.0,0.0013227513227513227
RotatE,SGD,MarginRankingLoss,True,0.0,0.0013227513227513227,0.003968253968253968,0.08465608465608465
TransH,Adagrad,BCEWithLogitsLoss,False,0.003968253968253968,0.08597883597883597,0.11772486772486772,0.14947089947089948
TransH,SGD,NSSALoss,True,0.0,0.0,0.0,0.0
TransE,Adam,BCEWithLogitsLoss,False,0.08068783068783068,0.15608465608465608,0.18121693121693122,0.21164021164021163
DistMult,SGD,SoftplusLoss,False,0.0,0.0,0.0,0.0013227513227513227
ComplEx,Adam,MarginRankingLoss,True,0.009259259259259259,0.021164021164021163,0.03439153439153439,0.06613756613756613
TransE,SGD,BCEWithLogitsLoss,False,0.0,0.06084656084656084,0.08333333333333333,0.11243386243386243
TransH,Adam,NSSALoss,True,0.06878306878306878,0.13227513227513227,0.16137566137566137,0.17989417989417988
TransH,SGD,SoftplusLoss,False,0.07275132275132275,0.12698412698412698,0.14153439153439154,0.14947089947089948
ComplEx,Adam,NSSALoss,False,0.0,0.010582010582010581,0.022486772486772486,0.05423280423280423
ComplEx,Adagrad,MarginRankingLoss,False,0.0,0.0,0.0013227513227513227,0.0013227513227513227
DistMult,Adagrad,NSSALoss,True,0.0,0.0,0.0013227513227513227,0.005291005291005291
TransH,Adam,BCEWithLogitsLoss,True,0.06349206349206349,0.0992063492063492,0.11904761904761904,0.14682539682539683
RotatE,Adagrad,NSSALoss,True,0.07539682539682539,0.14153439153439154,0.16666666666666666,0.18253968253968253
ComplEx,Adagrad,SoftplusLoss,True,0.0026455026455026454,0.005291005291005291,0.007936507936507936,0.007936507936507936
ComplEx,Adam,NSSALoss,True,0.005291005291005291,0.021164021164021163,0.03439153439153439,0.0701058201058201
TransE,Adagrad,SoftplusLoss,False,0.07275132275132275,0.14285714285714285,0.1693121693121693,0.2037037037037037
RotatE,Adam,BCEWithLogitsLoss,False,0.08333333333333333,0.1349206349206349,0.17724867724867724,0.21428571428571427
DistMult,SGD,BCEWithLogitsLoss,True,0.0,0.003968253968253968,0.005291005291005291,0.009259259259259259
RotatE,Adagrad,BCEWithLogitsLoss,False,0.07804232804232804,0.1574074074074074,0.18518518518518517,0.20899470899470898
ComplEx,Adagrad,NSSALoss,True,0.0013227513227513227,0.0026455026455026454,0.0026455026455026454,0.005291005291005291
RotatE,Adam,NSSALoss,False,0.08068783068783068,0.14153439153439154,0.18518518518518517,0.21428571428571427
DistMult,Adam,NSSALoss,False,0.007936507936507936,0.0291005291005291,0.042328042328042326,0.0701058201058201
TransE,Adam,NSSALoss,False,0.04894179894179894,0.09656084656084656,0.13227513227513227,0.18253968253968253
ComplEx,Adagrad,BCEWithLogitsLoss,True,0.0,0.0013227513227513227,0.0013227513227513227,0.005291005291005291
DistMult,SGD,NSSALoss,False,0.0,0.0,0.0,0.0013227513227513227
TransE,Adagrad,NSSALoss,True,0.06613756613756613,0.12433862433862433,0.15079365079365079,0.18386243386243387
RotatE,Adam,BCEWithLogitsLoss,True,0.07936507936507936,0.17195767195767195,0.20105820105820105,0.2261904761904762
RotatE,SGD,SoftplusLoss,False,0.0,0.0,0.0,0.06878306878306878
RotatE,Adagrad,MarginRankingLoss,True,0.047619047619047616,0.07407407407407407,0.09656084656084656,0.12962962962962962
ComplEx,Adagrad,NSSALoss,False,0.0,0.0,0.0,0.0
ComplEx,Adam,SoftplusLoss,True,0.006613756613756613,0.03042328042328042,0.051587301587301584,0.09523809523809523
DistMult,Adam,MarginRankingLoss,False,0.0291005291005291,0.056878306878306875,0.07275132275132275,0.10317460317460317
ComplEx,SGD,MarginRankingLoss,False,0.0,0.0,0.0,0.006613756613756613
TransE,SGD,BCEWithLogitsLoss,True,0.006613756613756613,0.08862433862433862,0.12566137566137567,0.15343915343915343
RotatE,SGD,BCEWithLogitsLoss,False,0.0,0.0,0.0,0.06878306878306878
RotatE,SGD,NSSALoss,False,0.0,0.0,0.0,0.0013227513227513227
DistMult,Adagrad,BCEWithLogitsLoss,False,0.0013227513227513227,0.0026455026455026454,0.006613756613756613,0.017195767195767195
TransH,Adagrad,SoftplusLoss,False,0.003968253968253968,0.08597883597883597,0.11772486772486772,0.14947089947089948
ComplEx,SGD,BCEWithLogitsLoss,True,0.0013227513227513227,0.003968253968253968,0.005291005291005291,0.009259259259259259
RotatE,Adam,NSSALoss,True,0.07936507936507936,0.13227513227513227,0.1746031746031746,0.2222222222222222
TransH,Adagrad,MarginRankingLoss,False,0.06878306878306878,0.1349206349206349,0.167989417989418,0.17989417989417988
TransE,Adam,MarginRankingLoss,False,0.03571428571428571,0.08333333333333333,0.12433862433862433,0.1746031746031746
TransE,SGD,MarginRankingLoss,False,0.0013227513227513227,0.021164021164021163,0.03042328042328042,0.04497354497354497
DistMult,Adam,MarginRankingLoss,True,0.047619047619047616,0.07407407407407407,0.08994708994708994,0.11772486772486772
TransE,SGD,NSSALoss,True,0.0,0.009259259259259259,0.018518518518518517,0.03306878306878307
ComplEx,SGD,SoftplusLoss,True,0.0013227513227513227,0.003968253968253968,0.005291005291005291,0.009259259259259259
DistMult,Adagrad,MarginRankingLoss,True,0.051587301587301584,0.07671957671957672,0.09391534391534391,0.12433862433862433
TransH,Adam,SoftplusLoss,False,0.062169312169312166,0.1283068783068783,0.14417989417989419,0.17857142857142858
ComplEx,Adagrad,BCEWithLogitsLoss,False,0.0,0.0,0.0013227513227513227,0.0013227513227513227
DistMult,SGD,SoftplusLoss,True,0.0,0.003968253968253968,0.005291005291005291,0.009259259259259259
RotatE,SGD,SoftplusLoss,True,0.0,0.0,0.0,0.08597883597883597
RotatE,Adam,MarginRankingLoss,False,0.08333333333333333,0.12962962962962962,0.15211640211640212,0.17195767195767195
RotatE,Adagrad,MarginRankingLoss,False,0.03835978835978836,0.082010582010582,0.09259259259259259,0.11904761904761904
RotatE,Adagrad,SoftplusLoss,False,0.07936507936507936,0.15873015873015872,0.18386243386243387,0.20767195767195767
TransE,Adam,SoftplusLoss,False,0.06613756613756613,0.1349206349206349,0.167989417989418,0.2037037037037037
TransH,SGD,BCEWithLogitsLoss,True,0.04365079365079365,0.10582010582010581,0.13227513227513227,0.14285714285714285
TransE,Adagrad,MarginRankingLoss,True,0.0,0.05026455026455026,0.07142857142857142,0.09656084656084656
TransE,Adagrad,NSSALoss,False,0.056878306878306875,0.10978835978835978,0.15079365079365079,0.17857142857142858
TransE,SGD,SoftplusLoss,True,0.006613756613756613,0.08862433862433862,0.12566137566137567,0.15343915343915343
DistMult,Adam,SoftplusLoss,False,0.046296296296296294,0.06878306878306878,0.08465608465608465,0.11243386243386243
TransE,Adam,NSSALoss,True,0.056878306878306875,0.10978835978835978,0.15343915343915343,0.18783068783068782
TransH,Adagrad,BCEWithLogitsLoss,True,0.003968253968253968,0.09259259259259259,0.1335978835978836,0.16137566137566137
RotatE,SGD,BCEWithLogitsLoss,True,0.0,0.0,0.0,0.08597883597883597
ComplEx,Adam,BCEWithLogitsLoss,True,0.022486772486772486,0.05291005291005291,0.07804232804232804,0.12433862433862433
ComplEx,SGD,SoftplusLoss,False,0.0,0.0,0.0,0.003968253968253968
TransH,Adam,BCEWithLogitsLoss,False,0.07275132275132275,0.11904761904761904,0.15079365079365079,0.17989417989417988
ComplEx,Adam,MarginRankingLoss,False,0.0026455026455026454,0.009259259259259259,0.010582010582010581,0.018518518518518517
TransH,Adagrad,SoftplusLoss,True,0.003968253968253968,0.09259259259259259,0.1335978835978836,0.16137566137566137
TransH,Adagrad,NSSALoss,True,0.06746031746031746,0.13227513227513227,0.14947089947089948,0.15343915343915343
RotatE,SGD,NSSALoss,True,0.0,0.0,0.0,0.0026455026455026454
DistMult,Adagrad,SoftplusLoss,True,0.017195767195767195,0.017195767195767195,0.017195767195767195,0.023809523809523808
TransE,Adagrad,SoftplusLoss,True,0.07936507936507936,0.15211640211640212,0.17592592592592593,0.20899470899470898
TransE,Adagrad,MarginRankingLoss,False,0.0,0.046296296296296294,0.05952380952380952,0.08465608465608465
TransE,Adam,BCEWithLogitsLoss,True,0.07142857142857142,0.1455026455026455,0.1746031746031746,0.20634920634920634
TransH,SGD,BCEWithLogitsLoss,False,0.07275132275132275,0.12698412698412698,0.14153439153439154,0.14947089947089948
TransH,Adam,NSSALoss,False,0.06613756613756613,0.1402116402116402,0.14814814814814814,0.17328042328042328
ComplEx,Adagrad,MarginRankingLoss,True,0.003968253968253968,0.003968253968253968,0.006613756613756613,0.007936507936507936
RotatE,Adam,MarginRankingLoss,True,0.08068783068783068,0.12698412698412698,0.15079365079365079,0.18253968253968253
TransH,Adam,SoftplusLoss,True,0.06878306878306878,0.11243386243386243,0.12301587301587301,0.14814814814814814
ComplEx,SGD,NSSALoss,True,0.0,0.0013227513227513227,0.0026455026455026454,0.005291005291005291
TransH,Adam,MarginRankingLoss,True,0.06084656084656084,0.1388888888888889,0.16137566137566137,0.17989417989417988
DistMult,SGD,MarginRankingLoss,False,0.0,0.0,0.0,0.0026455026455026454
TransE,SGD,SoftplusLoss,False,0.0,0.06084656084656084,0.08333333333333333,0.11243386243386243
DistMult,SGD,MarginRankingLoss,True,0.0013227513227513227,0.0026455026455026454,0.005291005291005291,0.007936507936507936
ComplEx,SGD,MarginRankingLoss,True,0.0026455026455026454,0.003968253968253968,0.003968253968253968,0.010582010582010581
DistMult,SGD,NSSALoss,True,0.0,0.003968253968253968,0.005291005291005291,0.009259259259259259
ComplEx,Adam,SoftplusLoss,False,0.01455026455026455,0.022486772486772486,0.041005291005291,0.07671957671957672
TransH,Adam,MarginRankingLoss,False,0.06746031746031746,0.12566137566137567,0.14814814814814814,0.17328042328042328
ComplEx,Adam,BCEWithLogitsLoss,False,0.01455026455026455,0.022486772486772486,0.041005291005291,0.07671957671957672
TransH,SGD,MarginRankingLoss,False,0.07671957671957672,0.1388888888888889,0.15608465608465608,0.15873015873015872
DistMult,Adagrad,NSSALoss,False,0.0,0.0013227513227513227,0.003968253968253968,0.005291005291005291
RotatE,Adagrad,BCEWithLogitsLoss,True,0.07275132275132275,0.15608465608465608,0.18783068783068782,0.20767195767195767
TransH,SGD,SoftplusLoss,True,0.04365079365079365,0.10582010582010581,0.13227513227513227,0.14285714285714285
TransE,SGD,MarginRankingLoss,True,0.0,0.023809523809523808,0.03042328042328042,0.041005291005291
TransE,Adagrad,BCEWithLogitsLoss,False,0.07539682539682539,0.14947089947089948,0.18253968253968253,0.2037037037037037
TransH,SGD,NSSALoss,False,0.0,0.0,0.0,0.005291005291005291
TransE,Adagrad,BCEWithLogitsLoss,True,0.08597883597883597,0.1746031746031746,0.2037037037037037,0.23809523809523808
TransH,SGD,MarginRankingLoss,True,0.07671957671957672,0.1335978835978836,0.13624338624338625,0.14417989417989419
DistMult,Adam,NSSALoss,True,0.0026455026455026454,0.007936507936507936,0.01455026455026455,0.062169312169312166
TransH,Adagrad,NSSALoss,False,0.051587301587301584,0.10978835978835978,0.11772486772486772,0.14814814814814814
TransE,SGD,NSSALoss,False,0.0,0.01984126984126984,0.03306878306878307,0.04497354497354497
TransH,Adagrad,MarginRankingLoss,True,0.07671957671957672,0.1335978835978836,0.16666666666666666,0.17857142857142858
RotatE,Adam,SoftplusLoss,False,0.07275132275132275,0.1402116402116402,0.18253968253968253,0.21296296296296297
TransE,Adam,SoftplusLoss,True,0.08597883597883597,0.1574074074074074,0.19047619047619047,0.21693121693121692
RotatE,Adam,SoftplusLoss,True,0.07142857142857142,0.16137566137566137,0.19576719576719576,0.21957671957671956
DistMult,Adam,BCEWithLogitsLoss,True,0.013227513227513227,0.0291005291005291,0.03571428571428571,0.04894179894179894
ComplEx,Adagrad,SoftplusLoss,False,0.0,0.0,0.0013227513227513227,0.0013227513227513227
RotatE,Adagrad,NSSALoss,False,0.07275132275132275,0.1349206349206349,0.16137566137566137,0.17592592592592593
